task_name,model,accuracy,latency,number_of_samples
task746_yelp_restaurant_review_classification,bert-tiny-sst2,0.825758,0.008097,132
task746_yelp_restaurant_review_classification,roberta-large-en,0.969697,0.399192,132
task746_yelp_restaurant_review_classification,distilbert-imdb,0.939394,0.07209,132
task746_yelp_restaurant_review_classification,twitter-roberta,0.916667,0.13317,132
task746_yelp_restaurant_review_classification,vader,0.757576,0.001089,132
task761_app_review_classification,distilbert-sst2,0.901515,0.02701,132
task761_app_review_classification,bert-sst2,0.924242,0.046072,132
task761_app_review_classification,albert-sst2,0.840909,0.061229,132
task761_app_review_classification,bert-tiny-sst2,0.772727,0.004261,132
task761_app_review_classification,roberta-large-en,0.962121,0.132381,132
task761_app_review_classification,distilbert-imdb,0.916667,0.025841,132
task761_app_review_classification,twitter-roberta,0.94697,0.045983,132
task761_app_review_classification,vader,0.636364,0.000162,132
task819_pec_sentiment_classification,distilbert-sst2,0.763158,0.031888,76
task819_pec_sentiment_classification,bert-sst2,0.802632,0.059258,76
task819_pec_sentiment_classification,albert-sst2,0.710526,0.076694,76
task819_pec_sentiment_classification,bert-tiny-sst2,0.605263,0.006059,76
task819_pec_sentiment_classification,roberta-large-en,0.776316,0.161866,76
task819_pec_sentiment_classification,distilbert-imdb,0.736842,0.031969,76
task819_pec_sentiment_classification,twitter-roberta,0.855263,0.057825,76
task819_pec_sentiment_classification,vader,0.631579,0.000314,76
task833_poem_sentiment_classification,distilbert-sst2,0.871212,0.011333,132
task833_poem_sentiment_classification,bert-sst2,0.878788,0.015919,132
task833_poem_sentiment_classification,albert-sst2,0.856061,0.022146,132
task833_poem_sentiment_classification,bert-tiny-sst2,0.863636,0.004803,132
task833_poem_sentiment_classification,roberta-large-en,0.840909,0.045338,132
task833_poem_sentiment_classification,distilbert-imdb,0.674242,0.009849,132
task833_poem_sentiment_classification,twitter-roberta,0.795455,0.020468,132
task833_poem_sentiment_classification,vader,0.780303,0.000105,132
task888_reviews_classification,distilbert-sst2,0.901515,0.020303,132
task888_reviews_classification,bert-sst2,0.886364,0.030524,132
task888_reviews_classification,albert-sst2,0.909091,0.044342,132
task888_reviews_classification,bert-tiny-sst2,0.871212,0.00353,132
task888_reviews_classification,roberta-large-en,0.924242,0.097907,132
task888_reviews_classification,distilbert-imdb,0.856061,0.016872,132
task888_reviews_classification,twitter-roberta,0.757576,0.0325,132
task888_reviews_classification,vader,0.598485,0.000147,132
